wallet,deposit_volume,borrow_volume,repay_volume,redeem_volume,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,active_days,token_diversity,total_tx,credit_score,score_range
0x00000000001accfa9cef68cf5371a23025b6d4b6,2000.0,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,481.01402334583736,"(400, 500]"
0x000000000051d07a4fb3bd10121a343d85818da6,145.0,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,454.8360662170834,"(400, 500]"
0x000000000096026fb41fc39f9875d164bd82e2dc,0.005,0.0,0.0,0.0,2,0,0,0,0,7.57,1,2,306.311542081777,"(300, 400]"
0x0000000000e189dd664b9ab08a33c4839953852c,0.0,0.0,0.0,13.829447,0,0,0,17,0,129.33,4,17,441.555,"(400, 500]"
0x0000000002032370b971dabd36d72f3e5a7bf1ee,814108.403292,109460.0,70024.57285,749539.554945,250,15,4,130,0,132.87,6,399,938.0424826618805,"(900, 1000]"
0x000000000a38444e0a6e37d3b630d7e855a7cb13,10609.617268,11605.0,11613.645226,4758.913017,7,8,5,5,0,39.28,5,25,873.9432127506707,"(800, 900]"
0x000000003853fcedcd0355fec98ca3192833f00b,0.066691,0.0,0.0,0.0,8,0,0,0,0,7.89,7,8,436.9606133337737,"(400, 500]"
0x000000003ce0cf2c037493b1dc087204bd7f713e,487558.242252,88737.491262,2735.136945,392393.836303,309,30,16,137,0,123.5,7,492,898.1743841224546,"(800, 900]"
0x000000007858e6f2668e1e06111cfa24403a5466,0.092647,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.88603192711804,"(300, 400]"
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1.797442,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,315.28705428191876,"(300, 400]"
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,800548.050619,597948.050619,599179.535406,801754.315692,26,24,9,10,0,30.66,1,69,949.606895372288,"(900, 1000]"
0x00000029ff545c86524ade7caf132527707948c4,3674139.8232,2175160.867594,2175359.193659,3674574.137958,12,12,12,11,0,2.1,4,47,1000.0,"(900, 1000]"
0x00000087c4cebffb95746d1935de7fbcab092f40,2123402.738219,1258225.301321,1238489.668915,2086885.695077,86,62,45,57,0,100.51,8,250,1000.0,"(900, 1000]"
0x000000e28faa823d5b53ff6c2922c28335840375,2904956.662985,2945673.525784,2192279.036962,2563931.629134,107,66,63,61,0,137.21,7,297,1000.0,"(900, 1000]"
0x000006eee6e39015cb523aebdd4d0b1855aba682,73762.879274,24850.0,23100.038413,149471.57797,11,4,1,9,3,41.29,6,25,574.9205681359482,"(500, 600]"
0x00000a9c78912badb92d73b6ed26456e11def5eb,1.690049,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,314.8955940906123,"(300, 400]"
0x00001bc47f0973f794f79c16121cee879e272d6a,0.0,0.0,0.0,53394.118307,0,0,0,4,0,47.0,2,4,417.8333333333333,"(400, 500]"
0x00002b503a75998c97508916a74fdb41934fa030,92851.793827,2371798.0,1909097.679607,92511.503049,27,47,45,28,0,125.32,7,147,1000.0,"(900, 1000]"
0x0000897253cc85f7547317eb2080b36b3255687a,0.144718,0.0,0.0,0.14472,1,0,0,1,0,3.51,1,2,306.9365831846267,"(300, 400]"
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1.109908,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.4664434464165,"(300, 400]"
0x0000ce08fa224696a819877070bf378e8b131acf,1949.574922,1417.09332,0.0,10007.042879,3,1,0,10,0,75.78,4,14,408.3887943989831,"(400, 500]"
0x00010a708585ba4812a1c5976182626c75cb7a6b,321.106114,1130.656142,433.761128,248.37331,9,6,7,7,0,79.52,6,29,839.1647453629279,"(800, 900]"
0x00016fc0c9f7620e920e1423fd455f9574f48025,0.012653,0.0,0.0,0.0,2,0,0,0,0,1.64,1,2,305.39906953026866,"(300, 400]"
0x0002761e848b24046a53d494847b11a3e1d36b09,1.008031,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,311.97154639957324,"(300, 400]"
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,1.010439,0.0,0.0,0.0,2,0,0,0,0,7.14,1,2,313.17353106183634,"(300, 400]"
0x0003816b25fd3d6c112eb65c089760fa3f791947,5000.0,1.3,1.3,5000.0,1,1,1,1,0,0.0,2,4,711.8321141728911,"(700, 800]"
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,2257.000889,915.968086,0.0,11097.714155,12,5,0,20,0,100.84,6,37,424.02901805087447,"(400, 500]"
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,1050.025562,0.0,0.0,1050.025797,1,0,0,1,0,0.0,1,2,474.5752169217966,"(400, 500]"
0x0003f46779806fe779e7f30eec95dbdb4d45840b,2034.568202,1945.0,1396.327014,1326.617422,8,6,5,5,0,82.85,2,24,828.1732977010995,"(800, 900]"
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,999.09,507.497107,512.437824,1211.281152,2,3,1,4,0,82.03,2,10,750.9060315347671,"(700, 800]"
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,0.845893,500.0,0.0,0.0,1,1,0,0,0,0.0,2,2,116.12963171237135,"(100, 200]"
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,25.0,16.0,16.0,24.99999,2,1,1,2,0,0.0,1,6,694.2452322613392,"(600, 700]"
0x0005696d4be2359526c497fe4a4c0620b41f2426,0.293501,592.247574,592.2972,592.38479,1,1,1,4,0,0.64,4,7,650.3941007018097,"(600, 700]"
0x000660cad76200a2e326f53e033919905e6c50f5,1.064772,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.25019808694907,"(300, 400]"
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1.3,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,313.32909122935104,"(300, 400]"
0x00080000158a9930aeb508823103b0a977161c47,3.0,0.0,0.0,0.0,2,0,0,0,0,9.99,1,2,320.5279436111989,"(300, 400]"
0x00099b1263c22ae2ce0a52624cef2a012e751970,0.004713,0.0,0.0,0.0,2,0,0,0,0,7.81,1,2,306.34868595254915,"(300, 400]"
0x0009ce45d5df78e632a0b4987079432dfba2253a,0.041,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.40181789632834,"(300, 400]"
0x000a27ba176083e4b50177378cbe7469a00dd557,276.526904,160.0,160.082274,276.749587,4,2,2,4,0,33.19,2,12,773.4291505268992,"(700, 800]"
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,25115.44508,13431.270384,13385.125834,46298.631748,18,8,5,12,0,25.91,5,43,883.1705955445451,"(800, 900]"
0x000ab43e658935ba39504a1424b01756c1e9644c,0.1,0.01,0.0,0.0,1,1,0,0,0,0.0,1,2,105.95310179804324,"(100, 200]"
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,2556.235866,0.0,0.0,2101.318666,49,0,0,28,0,123.27,8,77,639.0118221429085,"(600, 700]"
0x000c8e2871750f458bf1de8ab528dda09bc95db6,15000.0,2356.0,2356.0,15000.0,1,1,1,1,0,0.0,2,4,861.4616195040114,"(800, 900]"
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,0.092781,971.0,921.516338,0.085291,20,20,17,14,0,66.14,4,71,653.4526932914048,"(600, 700]"
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,200.272,40.0,40.10815,0.0,4,1,1,0,0,30.66,2,6,742.4807002445613,"(700, 800]"
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,0.001,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.00999500333086,"(300, 400]"
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,0.1,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.95310179804324,"(300, 400]"
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,0.282569,879.0,501.890779,502.090425,1,3,2,2,0,80.57,3,8,621.9911111249835,"(600, 700]"
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,83.482617,0.0,0.0,82.515864,6,0,0,2,0,20.32,2,8,557.7521246389102,"(500, 600]"
0x000e840a3122ec28d0c29321db172375cb049762,650.928602,216.908607,217.048025,267.358748,5,2,2,1,0,26.3,2,10,786.8769905651308,"(700, 800]"
0x000e9bd1d42999446d60ff60f1fb3afb13604202,34.423807,35.0,35.002269,16.42398,8,6,4,4,0,1.97,3,22,689.3404803672317,"(600, 700]"
0x000eab293e332bd6e67018a9150e8807bfac3233,1.2,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.8845736036427,"(300, 400]"
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,56.0,0.0,0.0,56.092344,1,0,0,1,0,15.68,2,2,453.04384601167885,"(400, 500]"
0x000f4432a40560bbff1b581a8b7aded8dab80026,9.284729,17600.0,17614.321013,12127.754825,7,6,3,9,0,18.14,4,25,691.860421359443,"(600, 700]"
0x000f7f22bfc28d940d4b68e13213ab17cf107790,57423167.597284,46907184.255438,46914346.608556,57355870.35324,26,19,13,15,0,2.83,5,73,1000.0,"(900, 1000]"
0x000f908720f9ce164d90f4fc89459fab4442907f,1659.586586,1351.625169,1351.688739,1659.6488,32,30,17,17,0,1.35,2,96,785.2379194911613,"(700, 800]"
0x000fbfec300959d0f2f327728a889c1f5de8e2df,609.166765,140.0,140.049101,350.0,3,1,1,3,0,8.04,2,8,774.4594843265297,"(700, 800]"
0x0011730224657eb527cf736039854c3a3f140e63,4500.0,739.0,739.0,4500.0,1,1,1,1,0,0.0,2,4,826.2535524568937,"(800, 900]"
0x00120ea6fdbaf057eadc1bd149f957488444e92c,236.759896,2.608976,2.608976,0.0,2,1,1,0,0,0.05,2,4,690.389428086407,"(600, 700]"
0x0012668072f7e0579caf7e047713d8b6d476d0db,3.0,0.0,0.0,0.0,2,0,0,0,0,2.78,1,2,319.3262769445322,"(300, 400]"
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,18077.543289,14395.596143,4294.285918,2416.951963,101,24,93,11,2,62.0,6,229,993.1636119807038,"(900, 1000]"
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0.0,0.0,0.0,0.005001,0,0,0,1,0,0.0,1,1,305.0,"(300, 400]"
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,0.0926,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.8856017697948,"(300, 400]"
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2.455392,0.0,0.0,0.0,2,0,0,0,0,6.09,1,2,318.41435909539103,"(300, 400]"
0x0014dfac19477a83d7354e6eaac28642c1959398,169.93361,18156.827224,18162.323503,169.935788,10,6,9,11,0,30.19,3,36,917.5876119754907,"(900, 1000]"
0x001589fe1923c2118f34e4277f2ef650fcbf0161,19179.15772,943.379632,0.0,17267.43342,19,2,0,9,0,132.77,5,30,445.74464904886065,"(400, 500]"
